Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Czech Republic,Beverages,Offline,C,9/12/2011,478051030,9/29/2011,4778,47.45,31.79,226716.1,151892.62,74823.48
Europe,Bosnia and Herzegovina,Clothes,Online,M,10/14/2013,919133651,11/4/2013,927,109.28,35.84,101302.56,33223.68,68078.88
Europe,Austria,Cereal,Offline,C,8/13/2014,987410676,9/6/2014,5616,205.7,117.11,1155211.2,657689.76,497521.44
Europe,Bulgaria,Office Supplies,Online,L,10/31/2010,672330081,11/29/2010,6266,651.21,524.96,4080481.86,3289399.36,791082.5
Europe,Estonia,Fruits,Online,L,9/28/2016,579463422,11/1/2016,4958,9.33,6.92,46258.14,34309.36,11948.78
Europe,Montenegro,Fruits,Offline,L,5/29/2016,313705861,7/10/2016,1390,9.33,6.92,12968.7,9618.8,3349.9
Europe,Czech Republic,Cereal,Online,M,7/8/2011,552037513,8/5/2011,9022,205.7,117.11,1855825.4,1056566.42,799258.98
Europe,Luxembourg,Vegetables,Offline,L,2/13/2010,744683635,4/1/2010,7291,154.06,90.93,1123251.46,662970.63,460280.83
Europe,Switzerland,Meat,Online,L,3/21/2014,169378983,4/10/2014,1860,421.89,364.69,784715.4,678323.4,106392
Europe,Finland,Beverages,Online,H,3/16/2012,566428315,3/23/2012,7581,47.45,31.79,359718.45,240999.99,118718.46
Europe,Belgium,Snacks,Online,M,1/12/2015,519380223,1/17/2015,5005,152.58,97.44,763662.9,487687.2,275975.7
Europe,San Marino,Office Supplies,Online,H,4/13/2014,904589211,5/4/2014,6905,651.21,524.96,4496605.05,3624848.8,871756.25
Europe,Bosnia and Herzegovina,Baby Food,Online,C,4/4/2015,184412229,4/7/2015,531,255.28,159.42,135553.68,84652.02,50901.66
Europe,Netherlands,Meat,Offline,M,3/8/2017,747774398,4/3/2017,1916,421.89,364.69,808341.24,698746.04,109595.2
Europe,Russia,Household,Online,M,7/10/2017,194176757,8/20/2017,72,668.27,502.54,48115.44,36182.88,11932.56
Europe,Ukraine,Cosmetics,Online,H,1/22/2011,773645913,1/28/2011,7873,437.2,263.33,3442075.6,2073197.09,1368878.51
Europe,Bosnia and Herzegovina,Meat,Online,H,7/24/2012,410740888,9/1/2012,6211,421.89,364.69,2620358.79,2265089.59,355269.2
Europe,Latvia,Meat,Offline,M,12/15/2011,847317397,12/18/2011,8902,421.89,364.69,3755664.78,3246470.38,509194.4
Europe,Serbia,Beverages,Online,L,9/3/2012,599624192,9/21/2012,978,47.45,31.79,46406.1,31090.62,15315.48
Europe,Portugal,Office Supplies,Online,M,1/21/2014,734318292,3/4/2014,9956,651.21,524.96,6483446.76,5226501.76,1256945
Europe,Poland,Household,Offline,L,7/7/2017,232196319,8/4/2017,905,668.27,502.54,604784.35,454798.7,149985.65
Europe,Liechtenstein,Cosmetics,Online,L,7/15/2012,229693067,7/15/2012,138,437.2,263.33,60333.6,36339.54,23994.06
Europe,United Kingdom,Beverages,Online,C,4/8/2017,121945512,4/12/2017,5242,47.45,31.79,248732.9,166643.18,82089.72
Europe,Slovenia,Fruits,Online,H,10/22/2012,169799983,11/20/2012,6443,9.33,6.92,60113.19,44585.56,15527.63
Europe,Malta,Vegetables,Online,M,3/11/2014,894589078,4/10/2014,7643,154.06,90.93,1177480.58,694977.99,482502.59
Europe,Ukraine,Personal Care,Online,M,7/16/2010,987459170,8/27/2010,9967,81.73,56.67,814602.91,564829.89,249773.02
Europe,Cyprus,Fruits,Offline,M,7/12/2015,600515115,8/30/2015,4622,9.33,6.92,43123.26,31984.24,11139.02
Europe,Poland,Office Supplies,Offline,M,11/27/2015,208365428,12/29/2015,8815,651.21,524.96,5740416.15,4627522.4,1112893.75
Europe,Monaco,Personal Care,Online,L,6/8/2014,263098371,7/4/2014,5509,81.73,56.67,450250.57,312195.03,138055.54
Europe,Estonia,Cosmetics,Online,C,5/23/2011,790149009,5/29/2011,1505,437.2,263.33,657986,396311.65,261674.35
Europe,Norway,Cereal,Online,M,10/8/2014,100640618,10/18/2014,650,205.7,117.11,133705,76121.5,57583.5
Europe,Luxembourg,Snacks,Online,H,2/1/2011,977324712,3/10/2011,955,152.58,97.44,145713.9,93055.2,52658.7
Europe,Luxembourg,Snacks,Online,H,9/7/2010,510956799,9/23/2010,2326,152.58,97.44,354901.08,226645.44,128255.64
Europe,Armenia,Fruits,Online,M,3/23/2011,120977771,5/2/2011,8866,9.33,6.92,82719.78,61352.72,21367.06
Europe,Bulgaria,Snacks,Offline,L,3/11/2017,476991450,3/27/2017,1225,152.58,97.44,186910.5,119364,67546.5
Europe,Denmark,Beverages,Online,H,6/5/2016,973268353,6/26/2016,589,47.45,31.79,27948.05,18724.31,9223.74
Europe,Finland,Vegetables,Offline,L,2/14/2013,771674382,3/21/2013,4453,154.06,90.93,686029.18,404911.29,281117.89
Europe,Kosovo,Fruits,Online,L,5/2/2010,291995418,6/6/2010,6788,9.33,6.92,63332.04,46972.96,16359.08
Europe,Hungary,Baby Food,Online,M,1/25/2011,128686225,3/13/2011,9968,255.28,159.42,2544631.04,1589098.56,955532.48
Europe,Lithuania,Cosmetics,Offline,L,1/6/2012,420875346,2/18/2012,5223,437.2,263.33,2283495.6,1375372.59,908123.01
Europe,Albania,Vegetables,Online,C,10/5/2012,476633536,11/3/2012,5310,154.06,90.93,818058.6,482838.3,335220.3
Europe,Cyprus,Vegetables,Offline,C,7/2/2014,727997720,7/19/2014,9558,154.06,90.93,1472505.48,869108.94,603396.54
Europe,Moldova ,Personal Care,Online,M,3/11/2013,467045819,4/12/2013,8092,81.73,56.67,661359.16,458573.64,202785.52
